State,Expenditure per Capita (in thousands),Funding received per Capita (in thousands)
Alabama,10.47834269705411,2.424330998838458
Alaska,20.557621035809635,7.409933213158835
Arizona,9.996269038120218,3.296594969423927
Arkansas,9.623155147423839,0.2433945254195922
California,17.159654430792262,1.4633787867923829
Colorado,12.820733483865638,2.4376866751545316
Connecticut,12.558674265975437,5.470858932284546
Delaware,13.446780011657072,1.0459120951718104
Florida,9.668120577804318,1.1096484455126434
Georgia,9.379418960361697,0.8257675525910954
Hawaii,13.851087734054023,1.369233813861729
Idaho,9.073042566657895,1.919106276358116
Illinois,12.906406260426794,1.1534438318070297
Indiana,10.252340815966829,0.8397369278897818
Iowa,12.67367755233559,0.7964876823141628
Kansas,11.389876327800597,1.1887051980583059
Kentucky,11.190060882493215,2.2062339252174876
Louisiana,11.466017383074957,0.7772952127733804
Maine,11.081316645392013,1.7368382805773297
Maryland,13.11489938909343,6.869665494778956
Massachusetts,15.470887768887085,3.814774331933276
Michigan,11.5026669279794,0.8396919817511096
Minnesota,13.679508504681676,0.6881929812018006
Mississippi,11.002108204267874,1.956513179400315
Missouri,10.087321849837203,2.8448667082594086
Montana,11.158287654365397,1.5172168895505154
Nebraska,12.845579557162951,0.6733328609031201
Nevada,10.74522905189163,1.1756624956838573
New Hampshire,10.29487454973365,1.645749093659756
New Jersey,12.624501414625486,1.2925929518374952
New Mexico,13.082639796328452,3.348579262507633
New York,19.19076036459166,0.8734822582585318
North Carolina,10.322921478159598,0.6816447743139605
North Dakota,14.018928469203212,3.631003310267992
Ohio,12.371944138731427,1.0602500607235603
Oklahoma,9.652319095123286,1.349236969944026
Oregon,15.508531748232539,0.6216719597497552
Pennsylvania,13.393723559795978,1.1477718185830639
Rhode Island,13.219533776635249,0.6451063496301616
South Carolina,10.98801898004251,1.87664476736905
South Dakota,9.87030339120108,0.6886036290554508
Tennessee,9.821880608081338,1.4582982311997505
Texas,10.717242409341184,2.3218264284882006
United States,12.76325070255042,0.0
Utah,11.576525837094474,0.9569814776437563
Vermont,14.877862179960658,1.1827005761291276
Virginia,11.34119812071853,12.57555207832255
Washington,14.572282497887478,1.4726660936372318
West Virginia,11.326578044381758,0.30364068671585587
Wisconsin,11.467174155563756,1.152921284925917
Wyoming,18.007360831569404,0.2754521641295548
