naics,naics_description,count
11,"Agriculture, Forestry, Fishing and Hunting",64
21,"Mining, Quarrying, and Oil and Gas Extraction",32
22,Utilities,15
23,Construction,31
31,Manufacturing,133
32,Manufacturing,136
33,Manufacturing,269
42,Wholesale Trade,71
44,Retail Trade,50
45,Retail Trade,33
48,Transportation and Warehousing,50
49,Transportation and Warehousing,7
51,Information,43
52,Finance and Insurance,42
53,Real Estate and Rental and Leasing,29
54,"Professional, Scientific, and Technical Services",52
55,Management of Companies and Enterprises,3
56,Administrative and Support and Waste Management and Remediation Services,45
61,Educational Services,17
62,Health Care and Social Assistance,39
71,"Arts, Entertainment, and Recreation",25
72,Accommodation and Food Services,19
81,Other Services (except Public Administration),49
92,Public Administration,29
